Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,class
-1.160091559,-0.359014481,0.672250285,-0.298393485,-0.940341587,0.973444361,1.152315731,1.268437668,1.666693713,-0.797018592,0
-1.065336982,0.949971086,0.775982255,-0.436214024,0.642433624,-0.808253028,1.060198615,-0.055959276,0.213936891,-2.42984933,0
0.860180451,-0.100932521,-1.322137244,1.063376237,-0.41155161,-1.806852083,-0.864811256,-1.303068151,-0.296464557,-0.622149756,1
-0.894969183,0.56846643,1.961493997,-1.705387722,-0.31960188,0.306074194,0.907182251,0.203818003,-0.28520321,-1.200104418,0
-0.703499344,3.091785489,0.669167422,-0.448310214,0.826840014,0.774513626,0.702084617,-2.42694692,-0.596631709,0.945176327,0
1.21415486,-0.862755372,-2.114959243,1.755285309,0.806573031,-0.970158507,-1.223830954,-0.094596024,-0.700849125,-0.088731341,1
0.923994965,0.818391244,-1.332908871,1.052995808,2.364997701,0.299886994,-0.927867245,-0.281996372,1.89599444,0.585575207,1
0.743564232,0.215650517,0.28991943,-0.545685242,-2.012050289,-1.638129364,-0.729482426,-1.025623981,-0.203541029,-0.751343349,0
0.586321467,1.222078584,-0.774659906,0.595447909,0.222485365,-1.120358066,-0.587880727,-1.839243006,-0.634018599,-0.27610755,1
0.576554425,0.617970504,-0.140919884,-0.049209374,-1.515704643,-0.700384062,-0.570251589,1.243783317,1.242369941,-0.70870058,0
1.013352593,-2.616896251,0.605488282,-0.958764982,-0.213926181,-0.383048563,-0.99150611,-0.116401411,1.907695557,0.720593515,0
-0.033792402,-0.892323059,-1.296630395,1.336994941,-0.15351699,-1.089404948,0.016952804,0.005173082,0.169037697,2.10540082,1
0.391151355,0.412422672,-1.313963532,1.212257473,0.354853394,-2.306403773,-0.402253331,-0.531519656,1.179155191,-2.647319428,1
0.889312111,-0.632509481,-1.558694312,1.295464477,-0.162486942,0.182579128,-0.896520378,0.283205518,-1.146056382,1.12580807,1
-0.889624483,-1.314013213,1.844108832,-1.587165671,0.379263628,-0.569622888,0.900430844,0.438980129,1.179462789,1.228084527,0
-0.734465621,-0.626671367,1.584156778,-1.373408092,1.186824263,0.08390117,0.744165742,-0.664483852,0.194286003,1.052582681,0
-1.503665068,-1.142443858,-0.784783701,1.306448487,1.451243552,0.133049641,1.47268287,-0.147218982,-0.771520731,-0.307526096,1
1.148613163,0.344510267,0.208741513,-0.59847866,0.187859532,-0.347380055,-1.12987844,0.169493519,0.298888993,0.038095822,0
-1.357666401,-0.17471716,0.224116754,0.226010541,-0.371827209,0.389674292,1.341464889,0.046543773,-0.540409861,2.100331049,0
0.938211273,0.421295437,-1.157108285,0.868492557,-1.222575014,0.209295811,-0.939665349,-1.443830911,-2.283739304,0.807743495,1
-1.601638983,-0.166312002,-0.955495997,1.513828523,0.091126631,0.277436909,1.567128781,0.521321866,-0.508613917,-0.016783671,1
0.371150659,-0.197913425,0.838416047,-0.981616091,0.60974852,-0.472539956,-0.355365873,0.954433189,1.469108133,-2.329949539,0
